Stock,Date,MACD,Signal,Diff
MBB.VN,2025-08-05,"Ticker
    636.445924
Name: 2025-08-05 00:00:00, dtype: object","Ticker
    573.2017
Name: 2025-08-05 00:00:00, dtype: object","Ticker
    63.244224
Name: 2025-08-05 00:00:00, dtype: object"
CRE.VN,2025-08-05,"Ticker
    214.768028
Name: 2025-08-05 00:00:00, dtype: object","Ticker
    201.896777
Name: 2025-08-05 00:00:00, dtype: object","Ticker
    12.871251
Name: 2025-08-05 00:00:00, dtype: object"
MSB.VN,2025-08-05,"Ticker
    455.546983
Name: 2025-08-05 00:00:00, dtype: object","Ticker
    448.733971
Name: 2025-08-05 00:00:00, dtype: object","Ticker
    6.813012
Name: 2025-08-05 00:00:00, dtype: object"
STB.VN,2025-08-05,"Ticker
    1088.219726
Name: 2025-08-05 00:00:00, dtype: object","Ticker
    1022.318885
Name: 2025-08-05 00:00:00, dtype: object","Ticker
    65.900842
Name: 2025-08-05 00:00:00, dtype: object"
ACB.VN,2025-08-05,"Ticker
    431.833419
Name: 2025-08-05 00:00:00, dtype: object","Ticker
    431.315107
Name: 2025-08-05 00:00:00, dtype: object","Ticker
    0.518312
Name: 2025-08-05 00:00:00, dtype: object"
OCB.VN,2025-08-04,"Ticker
    481.176937
Name: 2025-08-04 00:00:00, dtype: object","Ticker
    481.028276
Name: 2025-08-04 00:00:00, dtype: object","Ticker
    0.148661
Name: 2025-08-04 00:00:00, dtype: object"
NT2.VN,2025-08-04,"Ticker
    454.844107
Name: 2025-08-04 00:00:00, dtype: object","Ticker
    395.9338
Name: 2025-08-04 00:00:00, dtype: object","Ticker
    58.910306
Name: 2025-08-04 00:00:00, dtype: object"
GEG.VN,2025-08-04,"Ticker
    293.494323
Name: 2025-08-04 00:00:00, dtype: object","Ticker
    242.178534
Name: 2025-08-04 00:00:00, dtype: object","Ticker
    51.315789
Name: 2025-08-04 00:00:00, dtype: object"
IMP.VN,2025-08-04,"Ticker
    340.351821
Name: 2025-08-04 00:00:00, dtype: object","Ticker
    236.08141
Name: 2025-08-04 00:00:00, dtype: object","Ticker
    104.270412
Name: 2025-08-04 00:00:00, dtype: object"
BCM.VN,2025-07-31,"Ticker
    1725.629648
Name: 2025-07-31 00:00:00, dtype: object","Ticker
    1719.889196
Name: 2025-07-31 00:00:00, dtype: object","Ticker
    5.740452
Name: 2025-07-31 00:00:00, dtype: object"
NLG.VN,2025-07-30,"Ticker
    946.719195
Name: 2025-07-30 00:00:00, dtype: object","Ticker
    945.349595
Name: 2025-07-30 00:00:00, dtype: object","Ticker
    1.3696
Name: 2025-07-30 00:00:00, dtype: object"
BWE.VN,2025-07-30,"Ticker
   -254.508864
Name: 2025-07-30 00:00:00, dtype: object","Ticker
   -255.436595
Name: 2025-07-30 00:00:00, dtype: object","Ticker
    0.927731
Name: 2025-07-30 00:00:00, dtype: object"
TMS.VN,2025-07-30,"Ticker
    33.651761
Name: 2025-07-30 00:00:00, dtype: object","Ticker
    14.484746
Name: 2025-07-30 00:00:00, dtype: object","Ticker
    19.167015
Name: 2025-07-30 00:00:00, dtype: object"
DHC.VN,2025-07-30,"Ticker
    926.001621
Name: 2025-07-30 00:00:00, dtype: object","Ticker
    904.264264
Name: 2025-07-30 00:00:00, dtype: object","Ticker
    21.737357
Name: 2025-07-30 00:00:00, dtype: object"
SZC.VN,2025-07-28,"Ticker
    764.04741
Name: 2025-07-28 00:00:00, dtype: object","Ticker
    734.539042
Name: 2025-07-28 00:00:00, dtype: object","Ticker
    29.508369
Name: 2025-07-28 00:00:00, dtype: object"
