Stock,Last Cross,Last Date,MACD,Signal
LPB.VN,No,2025-08-01,585.6637,699.085
DGC.VN,No,2025-08-01,1243.6832,1741.2329
VIC.VN,No,2025-08-01,3391.6807,5184.1602
VHM.VN,No,2025-08-01,3836.7258,4638.9212
MBB.VN,No,2025-08-01,488.4528,565.6062
MSN.VN,No,2025-08-01,534.0133,1430.5423
MWG.VN,No,2025-08-01,577.65,1221.2963
EIB.VN,No,2025-08-01,1034.1988,1051.4928
PNJ.VN,No,2025-08-01,1331.8085,1332.6438
KDH.VN,No,2025-08-01,170.1747,332.1237
MSB.VN,No,2025-08-01,430.6912,445.1075
VCB.VN,No,2025-08-01,641.9926,988.8094
BID.VN,No,2025-08-01,321.5598,523.1333
CTG.VN,No,2025-08-01,878.5384,1087.6583
HDB.VN,No,2025-08-01,1182.7508,1119.9792
ACB.VN,No,2025-08-01,394.3816,430.7864
VIB.VN,No,2025-08-01,766.2626,602.2113
SSI.VN,No,2025-08-01,2136.2994,2120.5281
VPB.VN,No,2025-08-01,1696.7698,1364.4769
VRE.VN,No,2025-08-01,679.9104,894.6482
PDR.VN,No,2025-08-01,665.4904,711.4127
BCG.VN,No,2025-08-01,147.8463,182.1152
VNM.VN,No,2025-08-01,1153.0578,1311.0742
SAB.VN,No,2025-08-01,277.1311,384.4292
GAS.VN,No,2025-08-01,319.5049,479.8572
PLX.VN,No,2025-08-01,-142.7585,78.6462
REE.VN,No,2025-08-01,79.1738,494.7162
PC1.VN,No,2025-08-01,1000.0752,645.332
FPT.VN,No,2025-08-01,681.148,1521.2138
HPG.VN,No,2025-08-01,557.8815,789.5115
